#moduleID; x; y; z; horizontal? 0 -> false, 1 -> true
0; 483; 0; -152.5; 0
1; 441; 0; -152.5; 0
2; 399; 0; -152.5; 0
3; 357; 0; -152.5; 0
4; 315; 0; -152.5; 0
5; 273; 0; -152.5; 0
6; 231; 0; -152.5; 0
7; 189; 0; -152.5; 0
8; 147; 0; -152.5; 0
9; 105; 0; -152.5; 0
10; 63; 0; -152.5; 0
11; 21; 0; -152.5; 0
12; -21; 0; -152.5; 0
13; -63; 0; -152.5; 0
14; -105; 0; -152.5; 0
15; -147; 0; -152.5; 0
16; -189; 0; -152.5; 0
17; -231; 0; -152.5; 0
18; -273; 0; -152.5; 0
19; -315; 0; -152.5; 0
20; -357; 0; -152.5; 0
21; -399; 0; -152.5; 0
22; -441; 0; -152.5; 0
23; -483; 0; -152.5; 0
24; 0; 483; -91.5; 1
25; 0; 441; -91.5; 1
26; 0; 399; -91.5; 1
27; 0; 357; -91.5; 1
28; 0; 315; -91.5; 1
29; 0; 273; -91.5; 1
30; 0; 231; -91.5; 1
31; 0; 189; -91.5; 1
32; 0; 147; -91.5; 1
33; 0; 105; -91.5; 1
34; 0; 63; -91.5; 1
35; 0; 21; -91.5; 1
36; 0; -21; -91.5; 1
37; 0; -63; -91.5; 1
38; 0; -105; -91.5; 1
39; 0; -147; -91.5; 1
40; 0; -189; -91.5; 1
41; 0; -231; -91.5; 1
42; 0; -273; -91.5; 1
43; 0; -315; -91.5; 1
44; 0; -357; -91.5; 1
45; 0; -399; -91.5; 1
46; 0; -441; -91.5; 1
47; 0; -483; -91.5; 1
48; 483; 0; -30.5; 0
49; 441; 0; -30.5; 0
50; 399; 0; -30.5; 0
51; 357; 0; -30.5; 0
52; 315; 0; -30.5; 0
53; 273; 0; -30.5; 0
54; 231; 0; -30.5; 0
55; 189; 0; -30.5; 0
56; 147; 0; -30.5; 0
57; 105; 0; -30.5; 0
58; 63; 0; -30.5; 0
59; 21; 0; -30.5; 0
60; -21; 0; -30.5; 0
61; -63; 0; -30.5; 0
62; -105; 0; -30.5; 0
63; -147; 0; -30.5; 0
64; -189; 0; -30.5; 0
65; -231; 0; -30.5; 0
66; -273; 0; -30.5; 0
67; -315; 0; -30.5; 0
68; -357; 0; -30.5; 0
69; -399; 0; -30.5; 0
70; -441; 0; -30.5; 0
71; -483; 0; -30.5; 0
72; 0; 483; 30.5; 1
73; 0; 441; 30.5; 1
74; 0; 399; 30.5; 1
75; 0; 357; 30.5; 1
76; 0; 315; 30.5; 1
77; 0; 273; 30.5; 1
78; 0; 231; 30.5; 1
79; 0; 189; 30.5; 1
80; 0; 147; 30.5; 1
81; 0; 105; 30.5; 1
82; 0; 63; 30.5; 1
83; 0; 21; 30.5; 1
84; 0; -21; 30.5; 1
85; 0; -63; 30.5; 1
86; 0; -105; 30.5; 1
87; 0; -147; 30.5; 1
88; 0; -189; 30.5; 1
89; 0; -231; 30.5; 1
90; 0; -273; 30.5; 1
91; 0; -315; 30.5; 1
92; 0; -357; 30.5; 1
93; 0; -399; 30.5; 1
94; 0; -441; 30.5; 1
95; 0; -483; 30.5; 1
96; 483; 0; 91.5; 0
97; 441; 0; 91.5; 0
98; 399; 0; 91.5; 0
99; 357; 0; 91.5; 0
100; 315; 0; 91.5; 0
101; 273; 0; 91.5; 0
102; 231; 0; 91.5; 0
103; 189; 0; 91.5; 0
104; 147; 0; 91.5; 0
105; 105; 0; 91.5; 0
106; 63; 0; 91.5; 0
107; 21; 0; 91.5; 0
108; -21; 0; 91.5; 0
109; -63; 0; 91.5; 0
110; -105; 0; 91.5; 0
111; -147; 0; 91.5; 0
112; -189; 0; 91.5; 0
113; -231; 0; 91.5; 0
114; -273; 0; 91.5; 0
115; -315; 0; 91.5; 0
116; -357; 0; 91.5; 0
117; -399; 0; 91.5; 0
118; -441; 0; 91.5; 0
119; -483; 0; 91.5; 0
120; 0; 483; 152.5; 1
121; 0; 441; 152.5; 1
122; 0; 399; 152.5; 1
123; 0; 357; 152.5; 1
124; 0; 315; 152.5; 1
125; 0; 273; 152.5; 1
126; 0; 231; 152.5; 1
127; 0; 189; 152.5; 1
128; 0; 147; 152.5; 1
129; 0; 105; 152.5; 1
130; 0; 63; 152.5; 1
131; 0; 21; 152.5; 1
132; 0; -21; 152.5; 1
133; 0; -63; 152.5; 1
134; 0; -105; 152.5; 1
135; 0; -147; 152.5; 1
136; 0; -189; 152.5; 1
137; 0; -231; 152.5; 1
138; 0; -273; 152.5; 1
139; 0; -315; 152.5; 1
140; 0; -357; 152.5; 1
141; 0; -399; 152.5; 1
142; 0; -441; 152.5; 1
143; 0; -483; 152.5; 1
