# moduleID; x (mm); y (mm); z (mm); horizontal? 0 -> false, 1 -> true
0;0;506.0;0;1
1;0;462.0;0;1
2;0;418.0;0;1
3;0;374.0;0;1
4;0;330.0;0;1
5;0;286.0;0;1
6;0;242.0;0;1
7;0;198.0;0;1
8;0;154.0;0;1
9;0;110.0;0;1
10;0;66.0;0;1
11;0;22.0;0;1
12;0;-22.0;0;1
13;0;-66.0;0;1
14;0;-110.0;0;1
15;0;-154.0;0;1
16;0;-198.0;0;1
17;0;-242.0;0;1
18;0;-286.0;0;1
19;0;-330.0;0;1
20;0;-374.0;0;1
21;0;-418.0;0;1
22;0;-462.0;0;1
23;0;-506.0;0;1
24;506.0;0;60;0
25;462.0;0;60;0
26;418.0;0;60;0
27;374.0;0;60;0
28;330.0;0;60;0
29;286.0;0;60;0
30;242.0;0;60;0
31;198.0;0;60;0
32;154.0;0;60;0
33;110.0;0;60;0
34;66.0;0;60;0
35;22.0;0;60;0
36;-22.0;0;60;0
37;-66.0;0;60;0
38;-110.0;0;60;0
39;-154.0;0;60;0
40;-198.0;0;60;0
41;-242.0;0;60;0
42;-286.0;0;60;0
43;-330.0;0;60;0
44;-374.0;0;60;0
45;-418.0;0;60;0
46;-462.0;0;60;0
47;-506.0;0;60;0
48;0;506.0;120;1
49;0;462.0;120;1
50;0;418.0;120;1
51;0;374.0;120;1
52;0;330.0;120;1
53;0;286.0;120;1
54;0;242.0;120;1
55;0;198.0;120;1
56;0;154.0;120;1
57;0;110.0;120;1
58;0;66.0;120;1
59;0;22.0;120;1
60;0;-22.0;120;1
61;0;-66.0;120;1
62;0;-110.0;120;1
63;0;-154.0;120;1
64;0;-198.0;120;1
65;0;-242.0;120;1
66;0;-286.0;120;1
67;0;-330.0;120;1
68;0;-374.0;120;1
69;0;-418.0;120;1
70;0;-462.0;120;1
71;0;-506.0;120;1
