# module ID;threshold (MeV)
0;0
1;0
2;0
3;0
4;0
5;0
6;0
7;17
8;17
9;19
10;20
11;19
12;20
13;20
14;21
15;20
16;20
17;0
18;0
19;0
20;0
21;0
22;0
23;0
24;0
25;0
26;0
27;0
28;0
29;0
30;0
31;21
32;21
33;20
34;20
35;20
36;22
37;19
38;20
39;21
40;19
41;0
42;0
43;0
44;0
45;0
46;0
47;0
48;0
49;0
50;0
51;0
52;0
53;0
54;0
55;20
56;21
57;20
58;20
59;21
60;21
61;20
62;20
63;20
64;20
65;0
66;0
67;0
68;0
69;0
70;0
71;0
72;0
73;0
74;0
75;0
76;0
77;0
78;0
79;19
80;19
81;20
82;19
83;20
84;20
85;20
86;21
87;20
88;20
89;0
90;0
91;0
92;0
93;0
94;0
95;0
96;0
97;0
98;0
99;0
100;0
101;0
102;0
103;19
104;22
105;17
106;19
107;20
108;21
109;20
110;20
111;19
112;19
113;0
114;0
115;0
116;0
117;0
118;0
119;0
